CROP_NAME;ELEMENT;VERY_LOW;LOW;SLIGHTLY_LOW;NORMAL;HIGH;VERY_HIGH;VERY_LOW_COMMENTS;LOW_COMMENTS;SLIGHTLY_LOW_COMMENTS;NORMAL_COMMENTS;HIGH_COMMENTS;VERY_HIGH_COMMENTS;
POTATO (ATLANTIC) (245);AL;-0,01;0,00;0,00;0,00;500,00;500,01;Normal Level####;Normal Level####;Normal Level####;Normal Level####;A high level should not present problems for this crop and may be caused by pesticide residue.####;A high level should not present problems for this crop and may be caused by pesticide residue.####;
POTATO (ATLANTIC) (278);AL;-0,01;0,00;0,00;0,00;500,00;500,01;Normal Level####;Normal Level####;Normal Level####;Normal Level####;A high level should not present problems for this crop and may be caused by pesticide residue.####;A high level should not present problems for this crop and may be caused by pesticide residue.####;
POTATO (ATLANTIC) (257);AL;-0,01;0,00;0,00;0,00;500,00;500,01;Normal Level####;Normal Level####;Normal Level####;Normal Level####;A high level should not present problems for this crop and may be caused by pesticide residue.####;A high level should not present problems for this crop and may be caused by pesticide residue.####;
POTATO (ATLANTIC) (288);AL;-0,01;0,00;0,00;0,00;500,00;500,01;Normal Level####;Normal Level####;Normal Level####;Normal Level####;A high level should not present problems for this crop and may be caused by pesticide residue.####;A high level should not present problems for this crop and may be caused by pesticide residue.####;
POTATO (ATLANTIC) (299);AL;-0,01;0,00;0,00;0,00;500,00;500,01;Normal Level####;Normal Level####;Normal Level####;Normal Level####;A high level should not present problems for this crop and may be caused by pesticide residue.####;A high level should not present problems for this crop and may be caused by pesticide residue.####;
POTATO (ATLANTIC) (356);AL;-0,01;0,00;0,00;0,00;500,00;500,01;Normal Level####;Normal Level####;Normal Level####;Normal Level####;A high level should not present problems for this crop and may be caused by pesticide residue.####;A high level should not present problems for this crop and may be caused by pesticide residue.####;
POTATO (ATLANTIC) (365);AL;-0,01;0,00;0,00;0,00;500,00;500,01;Normal Level####;Normal Level####;Normal Level####;Normal Level####;A high level should not present problems for this crop and may be caused by pesticide residue.####;A high level should not present problems for this crop and may be caused by pesticide residue.####;
POTATO (ATLANTIC) (374);AL;-0,01;0,00;0,00;0,00;500,00;500,01;Normal Level####;Normal Level####;Normal Level####;Normal Level####;A high level should not present problems for this crop and may be caused by pesticide residue.####;A high level should not present problems for this crop and may be caused by pesticide residue.####;
POTATO (ATLANTIC) (245); NA ;-0,01;0,00;0,00;0,00;0,10;0,11;Normal Level####;Normal Level####;Normal Level####;Good level####;Unusually high level for this crop.####;Unusually high level for this crop.####;
POTATO (ATLANTIC) (278); NA ;-0,01;0,00;0,00;0,00;0,10;0,11;Normal Level####;Normal Level####;Normal Level####;Good level####;Unusually high level for this crop.####;Unusually high level for this crop.####;
POTATO (ATLANTIC) (257); NA ;-0,01;0,00;0,00;0,00;0,10;0,11;Normal Level####;Normal Level####;Normal Level####;Good level####;Unusually high level for this crop.####;Unusually high level for this crop.####;
POTATO (ATLANTIC) (288); NA ;-0,01;0,00;0,00;0,00;0,10;0,11;Normal Level####;Normal Level####;Normal Level####;Good level####;Unusually high level for this crop.####;Unusually high level for this crop.####;
POTATO (ATLANTIC) (299); NA ;-0,01;0,00;0,00;0,00;0,10;0,11;Normal Level####;Normal Level####;Normal Level####;Good level####;Unusually high level for this crop.####;Unusually high level for this crop.####;
POTATO (ATLANTIC) (356); NA ;-0,01;0,00;0,00;0,00;0,10;0,11;Normal Level####;Normal Level####;Normal Level####;Good level####;Unusually high level for this crop.####;Unusually high level for this crop.####;
POTATO (ATLANTIC) (365); NA ;-0,01;0,00;0,00;0,00;0,10;0,11;Normal Level####;Normal Level####;Normal Level####;Good level####;Unusually high level for this crop.####;Unusually high level for this crop.####;
POTATO (ATLANTIC) (374); NA ;-0,01;0,00;0,00;0,00;0,10;0,11;Normal Level####;Normal Level####;Normal Level####;Good level####;Unusually high level for this crop.####;Unusually high level for this crop.####;
POTATO (ATLANTIC) (374);S;0,06;0,07;0,11;0,14;0,35;0,36;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Normal Level####;High levels of Sulfur should not create problems for this crop.####;High levels of Sulfur should not create problems for this crop.####;
POTATO (ATLANTIC) (365);S;0,08;0,09;0,13;0,17;0,45;0,46;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Normal Level####;High levels of Sulfur should not create problems for this crop.####;High levels of Sulfur should not create problems for this crop.####;
POTATO (ATLANTIC) (374);MG;0,08;0,09;0,14;0,18;0,35;0,36;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Important for phosphate metabolism, disease resistance and dry matter production ( specific gravity ).  Boosts bulking. Increased yield of tubers. Improved disease resistance and skin quality. Increased tuber dry matter content and starch levels.#YaraVita HYDROMAG#5L/ha#Water rate: 200L/ha#Repeat applications may be necessary;Good Level####;Unusually high level for potato crop.####;Unusually high level for potato crop.####;
POTATO (ATLANTIC) (374);P;0,08;0,09;0,14;0,18;0,40;0,41;####;####;####;####;####;####;
POTATO (ATLANTIC) (365);P;0,10;0,11;0,16;0,21;0,40;0,41;####;####;####;####;####;####;
POTATO (ATLANTIC) (356);P;0,11;0,12;0,18;0,24;0,45;0,46;####;####;####;####;####;####;
POTATO (ATLANTIC) (356);S;0,11;0,12;0,18;0,24;0,45;0,46;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Low sulfur levels can have a negative influence on nitrogen and it's function in the plant. It is important to keep levels in the adequate range.  Consider adding Sulfur to your dry fertilizer program####;Normal Level####;High levels of Sulfur should not create problems for this crop.####;High levels of Sulfur should not create problems for this crop.####;
